;total pass. count;total travel time;travel time per pass.;total veh. kms
large_half_0_init.pickle;154;5562.1;36.12;495.37
large_half_0_opt.pickle;154;5453.7;35.41;483.37
large_half_1_init.pickle;149;6137.82;41.19;651.72
large_half_1_opt.pickle;149;5926.62;39.78;670.68
large_half_2_init.pickle;161;6751.68;41.94;496.52
large_half_2_opt.pickle;161;6503.29;40.39;650.48
large_more_0_init.pickle;147;8809.68;59.93;797.59
large_more_0_opt.pickle;147;8677.85;59.03;787.6
large_more_1_init.pickle;149;8754.65;58.76;734.46
large_more_1_opt.pickle;149;8234.88;55.27;791.79
large_more_2_init.pickle;161;9289.61;57.7;774.13
large_more_2_opt.pickle;161;9228.14;57.32;834.41
medium_half_0_init.pickle;231;5859.86;25.37;380.34
medium_half_0_opt.pickle;231;5859.86;25.37;380.34
medium_half_1_init.pickle;230;5996.52;26.07;346.89
medium_half_1_opt.pickle;230;5792.02;25.18;357.79
medium_half_2_init.pickle;242;6008.45;24.83;335.26
medium_half_2_opt.pickle;242;6008.45;24.83;335.26
medium_more_0_init.pickle;234;9760.83;41.71;673.59
medium_more_0_opt.pickle;234;9732.22;41.59;661.59
medium_more_1_init.pickle;230;9719.14;42.26;697.4
medium_more_1_opt.pickle;230;9506.69;41.33;665.31
medium_more_2_init.pickle;242;10739.9;44.38;698.35
medium_more_2_opt.pickle;242;10402.01;42.98;700.87
real_half_0_init.pickle;320;13004.83;40.64;803.29
real_half_0_opt.pickle;320;12993.3;40.6;806.9
real_half_1_init.pickle;307;12051.1;39.25;752.58
real_half_1_opt.pickle;307;12051.1;39.25;752.58
real_half_2_init.pickle;328;13063.71;39.83;767.43
real_half_2_opt.pickle;328;12876.26;39.26;797.36
real_more_0_init.pickle;312;20576.83;65.95;1023.37
real_more_0_opt.pickle;312;20018.19;64.16;1009.93
real_more_1_init.pickle;307;21601.76;70.36;991.72
real_more_1_opt.pickle;307;19066.29;62.11;1002.31
real_more_2_init.pickle;328;20460.5;62.38;1116.54
real_more_2_opt.pickle;328;20312.99;61.93;1155.58
small_half_0_init.pickle;510;6709.71;13.16;214.34
small_half_0_opt.pickle;510;4902.19;9.61;269.25
small_half_1_init.pickle;500;6065.39;12.13;199.37
small_half_1_opt.pickle;500;4996.27;9.99;214.34
small_half_2_init.pickle;510;7725.12;15.15;199.34
small_half_2_opt.pickle;510;4684.32;9.18;259.07
small_more_0_init.pickle;514;7566.37;14.72;241.0
small_more_0_opt.pickle;514;5923.98;11.53;269.0
small_more_1_init.pickle;500;6512.67;13.03;253.0
small_more_1_opt.pickle;500;5591.21;11.18;290.0
small_more_2_init.pickle;510;7208.59;14.13;268.0
small_more_2_opt.pickle;510;5788.79;11.35;294.0
