;total pass. count;total waiting time;total in-veh. time;total travel time;travel time per pass.;total veh. kms;total city travelers;total terminal travelers;avg. travel time to city;avg. travel time to terminal;wt city travel;ivt city travel;wt terminal travel;ivt terminal travel;in-advance pass. count;real-time pass. count;in-advance tt;real-time tt
real_1_120phd_init.pickle;654;9094.6;18703.31;27797.91;42.5;1328.54;631;23;42.03;55.41;13.45860539;28.57540412;26.18347826;29.2273913;617;37;26200.21;1597.7
real_1_120phd_opt.pickle;654;8759.1;18317.88;27076.98;41.4;1335.34;631;23;40.85;56.68;12.92690967;27.91846276;26.18347826;30.4926087;616;38;25427.49;1649.49
real_1_180phd_init.pickle;1010;23050.47;31304.92;54355.39;53.82;2237.15;973;37;52.42;90.6;21.64172662;30.77681398;53.86675676;36.73189189;960;50;50973.83;3381.56
real_1_180phd_opt.pickle;1010;18758.25;29201.48;47959.73;47.48;2340.72;973;37;45.78;92.45;17.12964029;28.64541624;56.51648649;35.93216216;950;60;44234.48;3725.25
real_1_4veh_80cap__init.pickle;654;26316.08;24384.57;50700.65;77.52;744.58;631;23;75.21;140.97;37.65914422;37.55220285;111.0069565;29.96217391;654;0;50700.65;0
real_1_4veh_80cap__opt.pickle;654;26591.5;20333.74;46925.24;71.75;867.55;631;23;67.41;190.72;36.33290016;31.08164818;159.3669565;31.3573913;654;0;46925.24;0
real_1_center_dep_init.pickle;654;8500.5;19609.48;28109.98;42.98;1272.12;631;23;42.89;45.54;12.70659271;30.18169572;20.98434783;24.55782609;627;27;27107.57;1002.41
real_1_center_dep_opt.pickle;654;8624.42;18736.84;27361.26;41.84;1285.15;631;23;41.59;48.59;12.78649762;28.80396197;24.18;24.41478261;623;31;26233.29;1127.97
real_1_clust_15_init;654;9094.6;18703.31;27797.91;42.5;1328.54;631;23;42.03;55.41;13.45860539;28.57540412;26.18347826;29.2273913;617;37;26200.21;1597.7
real_1_clust_15_init.pickle;654;9094.6;18703.31;27797.91;42.5;1328.54;631;23;42.03;55.41;13.45860539;28.57540412;26.18347826;29.2273913;617;37;26200.21;1597.7
real_1_clust_15_opt.pickle;654;8759.1;18317.88;27076.98;41.4;1335.34;631;23;40.85;56.68;12.92690967;27.91846276;26.18347826;30.4926087;616;38;25427.49;1649.49
real_1_clust_1_init.pickle;654;11960.37;21657.16;33617.53;51.4;1805.16;631;23;50.42;78.3;17.08928685;33.33343899;51.17521739;27.12;654;0;33617.53;0
real_1_clust_1_opt.pickle;654;10347.12;21201;31548.12;48.24;1734.91;631;23;47.28;74.56;14.68458003;32.5948336;47.00652174;27.55043478;654;0;31548.12;0
real_1_clust_30_init.pickle;654;10681.43;18685.69;29367.12;44.9;1097.34;631;23;44.67;51.36;16.00255151;28.66591125;25.38347826;25.97826087;637;17;28585.36;781.76
real_1_clust_30_opt.pickle;654;9476.55;18118.01;27594.56;42.19;1102.12;631;23;41.91;50.02;14.18426307;27.72391442;22.88173913;27.14;637;17;26760.81;833.75
real_1_clust_5_init;654;8772.93;20150.14;28923.07;44.22;1434.06;631;23;43.26;70.63;12.66285261;30.59939778;34.02913043;36.60521739;597;57;26046.05;2877.02
real_1_clust_5_init.pickle;654;8772.93;20150.14;28923.07;44.22;1434.06;631;23;43.26;70.63;12.66285261;30.59939778;34.02913043;36.60521739;597;57;26046.05;2877.02
real_1_clust_5_opt.pickle;654;8535.44;19378;27913.44;42.68;1431.08;631;23;41.66;70.63;12.28648177;29.37572108;34.02913043;36.60521739;597;57;25036.42;2877.02
real_1_middle_dep_init.pickle;654;7209.31;20763.77;27973.08;42.77;1242.22;631;23;42.41;52.76;10.80274168;31.60535658;17.0773913;35.68652174;624;30;26569.2;1403.88
real_1_middle_dep_opt.pickle;654;7460.05;19125.75;26585.8;40.65;1226.21;631;23;40.24;52.05;11.06137876;29.17405705;20.88347826;31.17043478;624;30;25182.93;1402.87
real_1_terminal_dep_init.pickle;654;9094.6;18703.31;27797.91;42.5;1328.54;631;23;42.03;55.41;13.45860539;28.57540412;26.18347826;29.2273913;617;37;26200.21;1597.7
real_2_120phd_init.pickle;675;8711.2;20732.66;29443.86;43.62;1093.58;653;22;43.28;53.67;12.17434916;31.10756508;34.60681818;19.06454545;646;29;28000.96;1442.9
real_2_120phd_opt.pickle;675;8457.34;17926.57;26383.91;39.09;1283.31;653;22;38.41;59.11;11.65513017;26.75742726;38.47909091;20.635;635;40;24522.46;1861.45
real_2_4veh_80cap__init.pickle;675;26106.89;22970.7;49077.59;72.71;663.7;653;22;70.56;136.46;36.33644717;34.22321593;108.145;28.31545455;667;8;47923.52;1154.07
real_2_80veh_4cap__init.pickle;675;3156.3;15955.33;19111.63;28.31;3320.84;653;22;28.12;34.11;4.373996937;23.74424196;13.64;20.47;533;142;15341.2;3770.43
real_2_80veh_4cap__opt.pickle;675;3197.14;15676.23;18873.37;27.96;3332.87;653;22;27.75;34.11;4.436539051;23.31683002;13.64;20.47;532;143;15045.66;3827.71
