,total pass. count,total waiting time,total in-veh. time,total travel time,travel time per pass.,total veh. kms,total city travelers,total terminal travelers,avg. travel time to city,avg. travel time to terminal,wt city travel,ivt city travel,wt terminal travel,ivt terminal travel,in-advance pass. count,real-time pass. count,in-advance tt,real-time tt
real_1_120phd_init.pickle,654,9094.6,18703.309999999998,27797.91,42.5,1328.54,631,23,42.03,55.41,13.458605388272582,28.575404120443743,26.183478260869567,29.227391304347826,617,37,26200.21,1597.7
real_1_120phd_opt.pickle,654,8759.099999999999,18317.879999999997,27076.98,41.4,1335.34,631,23,40.85,56.68,12.926909667194927,27.91846275752773,26.183478260869567,30.49260869565217,616,38,25427.489999999998,1649.49
real_1_180phd_init.pickle,1010,23050.469999999998,31304.92,54355.39,53.82,2237.15,973,37,52.42,90.6,21.641726618705036,30.776813977389516,53.866756756756764,36.7318918918919,960,50,50973.83,3381.56
real_1_180phd_opt.pickle,1010,18758.249999999993,29201.480000000003,47959.73,47.48,2340.72,973,37,45.78,92.45,17.129640287769785,28.645416238437818,56.51648648648649,35.93216216216217,950,60,44234.48,3725.25
real_1_4veh_80cap__init.pickle,654,28399.85,27050.14,55449.99,84.79,849.97,631,23,82.6,144.89,40.616735340729,41.97835182250395,120.46478260869566,24.426086956521736,632,22,52345.86,3104.13
real_1_center_dep_init.pickle,654,8500.500000000002,19609.48,28109.98,42.98,1272.12,631,23,42.89,45.54,12.706592709984154,30.181695721077645,20.984347826086953,24.557826086956524,627,27,27107.57,1002.41
real_1_center_dep_opt.pickle,654,8624.42,18736.84,27361.26,41.84,1285.15,631,23,41.59,48.59,12.78649762282092,28.803961965134707,24.18,24.41478260869565,623,31,26233.289999999997,1127.97
real_1_clust_15_init,654,9094.6,18703.309999999998,27797.91,42.5,1328.54,631,23,42.03,55.41,13.458605388272582,28.575404120443743,26.183478260869567,29.227391304347826,617,37,26200.21,1597.7
real_1_clust_15_init.pickle,654,9094.6,18703.309999999998,27797.91,42.5,1328.54,631,23,42.03,55.41,13.458605388272582,28.575404120443743,26.183478260869567,29.227391304347826,617,37,26200.21,1597.7
real_1_clust_15_opt.pickle,654,8759.099999999999,18317.879999999997,27076.98,41.4,1335.34,631,23,40.85,56.68,12.926909667194927,27.91846275752773,26.183478260869567,30.49260869565217,616,38,25427.489999999998,1649.49
real_1_clust_30_init.pickle,654,10681.430000000002,18685.69,29367.12,44.9,1097.34,631,23,44.67,51.36,16.00255150554675,28.665911251980987,25.383478260869566,25.97826086956522,637,17,28585.36,781.76
real_1_clust_30_opt.pickle,654,9476.549999999997,18118.01,27594.56,42.19,1102.12,631,23,41.91,50.02,14.184263074484946,27.723914421553097,22.88173913043478,27.139999999999997,637,17,26760.81,833.75
real_1_clust_5_init,654,8772.93,20150.139999999996,28923.07,44.22,1434.06,631,23,43.26,70.63,12.662852614896991,30.599397781299526,34.02913043478261,36.60521739130434,597,57,26046.05,2877.02
real_1_clust_5_init.pickle,654,8772.93,20150.139999999996,28923.07,44.22,1434.06,631,23,43.26,70.63,12.662852614896991,30.599397781299526,34.02913043478261,36.60521739130434,597,57,26046.05,2877.02
real_1_clust_5_opt.pickle,654,8535.440000000002,19378.0,27913.44,42.68,1431.08,631,23,41.66,70.63,12.286481774960382,29.375721077654525,34.02913043478261,36.60521739130434,597,57,25036.42,2877.02
real_1_middle_dep_init.pickle,654,7209.3099999999995,20763.77,27973.08,42.77,1242.22,631,23,42.41,52.76,10.802741679873218,31.60535657686213,17.077391304347827,35.68652173913044,624,30,26569.2,1403.88
real_1_middle_dep_opt.pickle,654,7460.049999999999,19125.75,26585.8,40.65,1226.21,631,23,40.24,52.05,11.06137876386688,29.174057052297943,20.883478260869566,31.170434782608694,624,30,25182.93,1402.87
real_1_terminal_dep_init.pickle,654,9094.6,18703.309999999998,27797.91,42.5,1328.54,631,23,42.03,55.41,13.458605388272582,28.575404120443743,26.183478260869567,29.227391304347826,617,37,26200.21,1597.7
real_2_120phd_init.pickle,675,8711.2,20732.659999999996,29443.86,43.62,1093.58,653,22,43.28,53.67,12.174349157733538,31.10756508422665,34.60681818181818,19.064545454545456,646,29,28000.96,1442.9
real_2_120phd_opt.pickle,675,8457.339999999998,17926.57,26383.91,39.09,1283.31,653,22,38.41,59.11,11.655130168453294,26.75742725880551,38.47909090909092,20.635,635,40,24522.46,1861.45
real_2_4veh_80cap__init.pickle,675,26106.889999999996,22970.7,49077.59,72.71,663.7,653,22,70.56,136.46,36.33644716692189,34.223215926493104,108.145,28.315454545454543,667,8,47923.52,1154.07
real_2_80veh_4cap__init.pickle,675,3156.300000000001,15955.329999999998,19111.63,28.31,3320.84,653,22,28.12,34.11,4.373996937212866,23.74424196018376,13.639999999999999,20.470000000000002,533,142,15341.2,3770.43
real_2_80veh_4cap__opt.pickle,675,3197.140000000002,15676.229999999998,18873.37,27.96,3332.87,653,22,27.75,34.11,4.436539050535989,23.316830015313933,13.639999999999999,20.470000000000002,532,143,15045.66,3827.71
