,0,1,2,3
"(1, '11,2')",59.97,25.0,,
"(1, '15,11')",74.62,1.0,,
"(1, '15,12')",74.62,1.0,,
"(1, '8,0')",93.82,,,
"(1, '4,3')",105.82,15.0,,
"(1, '1,1')",110.62,29.0,,
"(1, '1,2')",110.62,16.0,,
"(1, '6,1')",122.62,20.0,,
"(1, '15,10')",149.98,2.0,2.0,
"(1, '6,2')",177.34,,,
"(1, '4,4')",185.99,4.0,,
"(1, '4,5')",185.99,2.0,,
"(1, '12,2')",207.59,5.0,,
"(1, '13,0')",211.92,1.0,,
"(1, '14,0')",216.25,,,
"(1, '15,9')",241.83,2.0,,
"(1, '12,1')",251.43,1.0,,
"(1, '10,5')",260.08,,,
"(1, '15,8')",297.23,,,
"(1, '15,1')",427.4,2.0,1.0,
"(1, '11,0')",442.05,,,
"(1, '1,0')",496.06,,,
"(2, '6,0')",19.78,9.0,,
"(2, '15,4')",47.14,,,
"(2, '10,0')",64.61,21.0,,
"(2, '9,1')",75.64,28.0,1.0,4.0
"(2, '12,3')",82.84,26.0,,
"(2, '15,3')",94.53,,,
"(2, '14,2')",99.33,30.0,,
"(2, '13,1')",103.66,30.0,,
"(2, '15,1')",111.71,2.0,,
"(2, '14,3')",116.51,18.0,,
"(2, '12,0')",121.31,1.0,,
"(2, '13,2')",125.64,,,
"(2, '3,1')",150.7,23.0,,
"(2, '2,0')",154.09,31.0,,
"(2, '15,2')",194.51,2.0,1.0,
"(2, '9,0')",211.31,,,
"(2, '3,0')",239.54,,,
"(2, '12,2')",261.44,1.0,,
"(2, '14,1')",266.24,,,
"(3, '4,0')",54.88,27.0,,
"(3, '15,0')",97.04,1.0,,
"(3, '13,0')",105.09,17.0,,
"(3, '8,0')",119.07,17.0,,
"(3, '5,0')",126.27,,,
"(3, '2,0')",135.64,17.0,,
"(3, '3,0')",139.03,19.0,,
"(3, '15,1')",178.04,1.0,,
"(3, '6,0')",205.4,11.0,,
"(3, '8,1')",215.58,,,
"(3, '15,3')",236.16,,,
"(4, '15,0')",36.0,1.0,2.0,
"(4, '5,0')",62.4,17.0,,
"(4, '7,1')",70.08,24.0,,
"(4, '8,0')",75.03,20.0,,
"(4, '13,0')",87.56,2.0,,
"(4, '14,0')",91.89,,,
"(4, '15,1')",96.69,,,
"(4, '12,0')",106.29,16.0,,
"(4, '7,0')",118.11,24.0,,
"(4, '5,1')",125.79,20.0,,
"(4, '1,0')",135.39,3.0,,
"(4, '9,0')",154.59,15.0,,
"(4, '15,2')",171.39,,,
"(4, '11,0')",186.04,19.0,,
"(4, '10,0')",192.04,21.0,,
"(4, '15,3')",245.37,2.0,,
"(4, '7,2')",266.33,,,
"(4, '6,0')",272.79,1.0,,
"(4, '15,4')",300.15,,,
